,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.060224116,0.036268305,-0.21855949,0.029111795,-0.06854063,-0.00603535,0.09005818,0.31624448,-0.18538651,0.0707443,-0.17637512,-0.19639696,0.21811654,0.1525865,-0.17660616,0.199893
1,-0.13984685,0.2597399,0.16549711,-0.031912554,0.13140015,-0.1146548,-0.21684551,0.0056740027,0.0076022563,-0.28424835,-0.28126267,-0.08544399,-0.112614416,-0.14036886,-0.096554145,-0.12869936
2,0.3710016,-0.0031900196,-0.24953754,0.05819915,-0.09901156,0.25210118,0.20586352,-0.011257574,-0.120839834,0.27385417,-0.3286461,-0.01912953,-0.030511511,-0.28748038,-0.028235149,-0.29951692
3,0.114445455,-0.15464003,-0.1319923,-0.031110186,0.0850832,0.2595648,-0.17563474,0.0017516733,-0.43635216,0.37211838,0.040704183,0.11705168,0.046611413,0.10274084,0.21351233,0.02813623
4,0.26766184,0.13328566,0.19635782,0.14122498,0.07834985,-0.11791755,0.061601028,0.19590247,0.28312033,-0.20818229,-0.10683174,4.3227643e-05,0.19613963,0.21460709,-0.010042715,0.067766346
5,0.011002083,-0.21578786,0.06034234,-0.01256312,-0.2520476,-0.12637289,0.36735278,-0.11339237,-0.026168715,-0.052253693,0.21956006,0.25189212,0.23601373,-0.051446576,0.03232734,-0.15463252
6,-0.08984853,-0.21078551,-0.002693304,0.16105308,0.074772805,-0.15134865,-0.00581932,-0.091523886,-0.06564625,-0.12481948,0.22956996,0.22950535,0.17634912,-0.10895553,0.18776655,-0.06836227
7,-0.05991178,-0.1628803,-0.20216322,0.03307846,0.037099365,-0.14553091,-0.051237762,-0.002316178,-0.28137478,-0.057979118,0.065267995,0.15501875,-0.18291439,-0.15063848,0.31555557,-0.041885603
8,0.17644738,-0.18267415,0.153741,0.1542594,-0.049201336,-0.053334516,0.22924976,0.036701065,0.105323374,-0.009903871,-0.1060057,-0.14614737,0.2547135,-0.003160848,0.19348261,0.22250117
9,-0.19621937,-0.024156563,-0.03732267,-0.044465255,0.14568463,0.20489053,-0.19802883,-0.12957977,-0.25505885,-0.13647795,0.21401297,-0.0940753,0.0021816946,-0.057075243,0.17186952,-0.02422981
10,0.1687899,0.092913456,0.22851825,0.028213141,0.04305364,-0.003809176,0.20655902,-0.016390214,0.22451212,-0.047400977,-0.010315148,0.19351354,-0.20456205,0.0060210307,0.19383237,-0.12490535
11,-0.19619074,-0.08240004,0.23739243,0.064473785,-0.040828343,0.21333148,-0.022052782,-0.06283452,-0.09977583,0.27649575,0.039815042,-0.01164865,-0.009424133,0.104433976,0.13695994,0.009431679
12,0.012766483,0.12869154,0.0320819,-0.23939246,-0.16612038,-0.03250803,-0.03616355,0.27880102,-0.060955845,0.18119217,-0.19180332,-0.24672541,-0.055179365,-0.1396378,-0.08300161,0.05983125
13,-0.024125414,0.3471257,-0.22893709,0.1679222,0.20710224,-0.20635954,-0.15846789,0.03930399,0.08830743,-0.101072334,-0.23602052,-0.36105186,-0.15506946,-0.06507091,-0.38696384,0.111945644
14,0.0050553153,0.017191082,0.11521218,-0.09958618,-0.18669014,-0.13587925,0.2778359,-0.08391228,-0.10844431,0.08317425,0.09837299,0.006924923,-0.026500829,0.26150715,-0.18382637,0.24813892
15,0.2573096,-0.046009496,0.17034905,0.13353157,0.2422369,-0.09501315,-0.17575362,-0.12231068,-0.19162309,0.00988684,0.25005326,0.21045582,0.13183393,0.007018763,0.011078923,0.19792448
