,0
0,-0.16879691
1,-0.0972618
2,-0.2089616
3,0.063465126
4,-0.10183669
5,-0.22801168
6,-0.11412561
7,-0.10820513
8,-0.22408855
9,-0.14397086
10,0.16811405
11,-0.17656982
12,-0.18620579
13,0.2334815
14,0.09409636
15,0.21579929
