,0
0,0.20434599
1,-0.002797288
2,-0.22128199
3,0.14499481
4,-0.069912225
5,-0.28936717
6,-0.12020582
7,0.24660112
8,0.1586129
9,-0.085630864
10,-0.12526849
11,-0.18268296
12,-0.059927605
13,0.28954577
14,-0.22524366
15,0.16312893
